Text,Story of Self (Origin),Story of Us,Story of Now,Challenge,Choice,Outcome,Specific/Vivid Details,Hope,Values,Vulnerability
"Uncle
Sherman.",1,0,0,0,0,0,1,0,0,0
Aunt Mary.,1,0,0,0,0,0,1,0,0,0
Uncle Freddy.,1,0,0,0,0,0,1,0,0,0
And Auntie Chris.,1,0,0,0,0,0,1,0,0,0
"None of them, family by blood.",1,0,0,0,0,0,1,0,0,0
"And all of them, Family.",1,0,0,0,0,0,1,0,0,0
By love.,1,0,0,0,0,0,0,0,1,0
Family who taught us how to make gumbo.,1,0,0,0,0,0,1,0,0,0
How to play chess.,1,0,0,0,0,0,1,0,0,0
"And sometimes
even let us win.",1,0,0,0,0,0,1,0,0,0
Family who loved us.,1,0,0,0,0,0,1,0,0,0
Believed in us.,1,0,0,0,0,0,0,0,1,0
And told us we could be anything.,1,0,0,0,0,0,0,1,1,0
"Do
anything.",1,0,0,0,0,0,0,1,0,0
They instilled in us the values they personified.,1,0,0,0,0,0,0,0,1,0
Community.,1,0,0,0,0,0,0,0,1,0
Faith.,1,0,0,0,0,0,0,0,1,0
"And the
importance of treating others as you would want to be treated.",1,0,0,0,0,0,0,0,1,0
With kindness.,1,0,0,0,0,0,0,0,1,0
Respect.,1,0,0,0,0,0,0,0,1,0
And compassion.,1,0,0,0,0,0,0,0,1,0
"My mother was a brilliant, five-foot-tall, brown woman with an accent.",1,0,0,0,0,0,1,0,0,0
"And, as
the eldest child, I saw how the world would sometimes treat her.",1,0,0,1,0,0,1,0,0,1
But she never lost her cool.,1,0,0,0,0,1,0,0,1,0
She was tough.,1,0,0,0,0,0,0,0,1,0
Courageous.,1,0,0,0,0,0,0,0,1,0
"A trailblazer in the fight
for women's health.",1,0,0,0,0,0,0,0,1,0
"And she taught Maya and me a lesson that Michelle mentioned the other night—
She taught us to never complain about injustice.",1,0,0,0,0,0,0,0,1,0
But…do something about it.,1,0,0,0,1,0,0,1,0,0
She also taught us—Never do anything half-assed.,1,0,0,0,0,0,0,0,1,0
That's a direct quote.,1,0,0,0,0,0,1,0,0,0
I grew up immersed in the ideals of the Civil Rights Movement.,1,0,0,0,0,0,0,0,1,0
My parents had met at a civil rights gathering.,1,0,0,0,0,0,1,0,0,0
"And they made sure we learned
about civil rights leaders, including lawyers like Thurgood Marshall and
Constance Baker Motley.",1,0,0,0,0,0,1,0,0,0
Those who battled in the courtroom to make real the Promise of America.,1,0,0,0,0,0,0,0,1,0
"So, at a
young age, I decided I wanted to do that work.",1,0,0,0,1,0,1,0,1,0
I wanted to be a lawyer.,1,0,0,0,1,0,0,0,1,0
"And when it came time to choose – the type of law I would pursue – I reflected on
a pivotal moment in my life.",1,0,0,0,1,0,1,0,0,0
"When I was in high school, I started to notice something about my best friend
Wanda.",1,0,0,0,0,0,1,0,0,0
She was sad at school.,1,0,0,1,0,0,1,0,0,0
And there were times she didn't want to go home.,1,0,0,1,0,0,1,0,0,0
"So, one day, I asked if everything was alright.",1,0,0,0,1,0,0,0,0,1
"And she confided in me that she
was being sexually abused by her step-father.",1,0,0,1,0,0,0,0,0,1
"And I immediately told her she had
to come stay with us.",1,0,0,0,1,0,0,0,0,1
And she did.,1,0,0,0,0,1,0,0,0,0
That is one of the reasons I became a prosecutor.,1,0,0,0,0,1,0,0,1,0
To protect people like Wanda.,1,0,0,0,0,0,0,0,1,0
Because I believe everyone has a right: To safety.,1,0,0,0,0,0,0,0,1,0
To dignity.,1,0,0,0,0,0,0,0,1,0
And to justice.,1,0,0,0,0,0,0,0,1,0
"As a prosecutor, when I had a case, I charged it not in the name of the victim.",1,0,0,0,0,0,0,0,0,0
"But
in the name of.",1,0,0,0,0,0,0,0,0,0
""The People."
For a simple reason.",1,0,0,0,0,0,0,0,0,0
"In our system of justice, a harm against any one of us is a
harm against all of us.",0,1,0,0,0,0,0,0,1,0
"I would often explain this, to console survivors of crime.",1,1,0,0,0,0,0,0,0,0
"To remind them: No one
should be made to fight alone.",0,1,0,0,0,0,0,1,0,0
We are all in this together.,0,1,0,0,0,0,0,1,0,0
"Every day in the courtroom, I stood proudly before a judge and said five words:
"Kamala Harris, for the People."
And to be clear: My entire career, I have only had one client.",1,0,0,0,0,0,1,0,0,0
The People.,1,0,0,0,0,0,0,0,0,0
"And so, on behalf of The People, On behalf of every American.",0,1,0,0,0,0,0,0,1,0
"Regardless of
party.",0,1,0,0,0,0,0,0,1,0
Race.,0,1,0,0,0,0,0,0,1,0
Gender.,0,1,0,0,0,0,0,0,1,0
Or the language your grandmother speaks.,0,1,0,0,0,0,0,0,1,0
"On behalf of my mother and everyone who has ever set out on their own unlikely
journey.",0,1,0,0,0,0,1,0,0,1
On behalf of Americans like the people I grew up with.,0,1,0,0,0,0,1,0,0,0
People who work hard.,0,1,0,0,0,0,0,0,1,0
Chase their dreams.,0,1,0,0,0,0,0,1,0,0
And look out for one another.,0,1,0,0,0,0,0,0,1,0
"On behalf of everyone whose story could only be written in the greatest nation on
Earth.",0,1,0,0,0,0,0,0,1,0
I accept your nomination for President of the United States of America.,0,0,1,0,0,0,0,0,0,0
"With this election, our nation has a precious, fleeting opportunity to move past
the bitterness, cynicism, and divisive battles of the past.",0,0,1,1,0,0,0,1,0,0
A chance to chart a New Way Forward.,0,0,1,0,0,1,0,1,0,0
Not as members of any one party or faction.,0,0,1,0,0,0,0,0,0,0
But as Americans.,0,0,1,0,0,0,0,0,1,0
I know there are people of various political views watching tonight.,0,0,0,0,0,0,0,0,0,0
And I want you to know: I promise to be a President for all Americans.,0,0,1,0,0,0,0,0,1,0
You can always trust me to put country above party and self.,0,0,1,0,0,0,0,0,1,0
"To hold sacred
America's fundamental principles.",0,0,1,0,0,0,0,0,1,0
From the rule of law.,0,0,1,0,0,0,0,0,1,0
"To free and fair
elections.",0,0,1,0,0,0,0,0,1,0
To the peaceful transfer of power.,0,0,1,0,0,0,0,0,1,0
I will be a President who unites us around our highest aspirations.,0,1,0,0,0,0,0,1,0,0
"A President
who leads.",0,0,0,0,0,0,0,0,1,0
And listens.,0,0,0,0,0,0,0,0,1,0
Who is realistic.,0,0,0,0,0,0,0,0,1,0
Practical.,0,0,0,0,0,0,0,0,1,0
And has common sense.,0,0,0,0,0,0,0,0,1,0
"And
always fights for the American people.",0,0,1,0,0,0,0,0,1,0
"From the courthouse to the White House, that has been my life's work.",1,0,0,0,0,0,1,0,0,0
"As a young courtroom prosecutor in Oakland, I stood up for women and children
against predators who abused them.",1,0,0,0,1,0,1,0,0,0
"As Attorney General of California, I took on the Big Banks.",1,0,0,0,1,0,1,0,0,0
"Delivered $20 billion
for middle-class families who faced foreclosure.",1,0,0,0,0,1,1,0,0,0
"And helped pass a Homeowner
Bill of Rights—one of the first of its kind.",1,0,0,0,0,1,1,0,0,0
I stood up: For veterans and students being scammed by Big for-Profit colleges.,1,0,0,0,1,0,1,0,0,0
For workers who were being cheated out of the wages they were due.,1,0,0,1,0,0,1,0,0,0
"For seniors
facing elder abuse.",1,0,0,1,0,0,1,0,0,0
"I fought against cartels who traffic in guns, drugs, and human beings.",1,0,0,0,1,0,1,0,0,0
"Who
threaten the security of our border and the safety of our communities.",0,0,1,1,0,0,1,0,0,0
Those fights were not easy.,1,0,0,1,0,0,1,0,0,0
"And neither were the elections that put me in those
offices.",1,0,0,1,0,0,1,0,0,0
We were underestimated at every turn.,0,1,0,1,0,0,1,0,0,0
But we never gave up.,0,1,0,0,0,1,0,1,0,0
"Because the
future is always worth fighting for.",0,0,1,0,0,0,0,1,0,0
And that's the fight we are in right now.,0,0,1,1,0,0,0,1,0,0
A fight for America's future.,0,0,1,1,0,0,0,1,0,0
"Fellow Americans, this election is not only the most important of our lives.",0,0,1,0,0,0,0,0,0,0
"It is
one of the most important in the life of our nation.",0,0,1,0,0,0,0,0,0,0
"In many ways, Donald Trump is an unserious man.",0,0,1,0,0,0,0,0,0,0
"But the consequences of putting Donald Trump back in the White House are
extremely serious.",0,0,1,1,0,0,0,0,0,0
"Consider not only the chaos and calamity when he was in office, but also the
gravity of what has happened since he lost the last election.",0,0,1,1,0,0,1,0,0,0
Donald Trump tried to throw away your votes.,0,0,1,1,0,0,0,0,0,0
"When he failed, he sent an armed mob to the United States Capitol, where they
assaulted law enforcement officers.",0,0,1,1,0,0,1,0,0,0
"When politicians in his own party begged him to call off the mob and send help,
he did the opposite.",0,0,1,1,0,0,1,0,0,0
He fanned the flames.,0,0,1,1,0,0,1,0,0,0
"And now, for an entirely different set of crimes, he was found guilty of fraud by a
jury of everyday Americans.",0,0,1,0,0,1,1,0,0,0
"And separately, found liable for committing sexual abuse.",0,0,1,0,0,1,1,0,0,0
And consider what he intends to do if we give him power again.,0,0,1,1,0,0,0,0,0,0
"Consider his explicit intent to set free the violent extremists who assaulted those
law enforcement officers at the Capitol.",0,0,1,1,0,0,1,0,0,0
His explicit intent to jail journalists.,0,0,1,1,0,0,1,0,0,0
Political opponents.,0,0,1,1,0,0,1,0,0,0
"Anyone he sees as the
enemy.",0,0,1,1,0,0,1,0,0,0
His explicit intent to deploy our active-duty military against our own citizens.,0,0,1,1,0,0,1,0,0,0
"Consider the power he will have— especially after the United States Supreme
Court just ruled he would be immune from criminal prosecution.",0,0,1,1,0,0,1,0,0,0
Just imagine Donald Trump with no guardrails.,0,0,1,1,0,0,1,0,0,0
"How he would use the immense
powers of the presidency of the United States.",0,0,1,1,0,0,1,0,0,0
Not to improve your life.,0,0,1,1,0,0,0,0,0,0
"Not to
strengthen our national security.",0,0,1,1,0,0,0,0,0,0
But to serve the only client he has ever had: Himself.,0,0,1,1,0,0,1,0,0,0
And we know what a second Trump term would look like.,0,0,1,0,0,1,1,0,0,0
"It's all laid out in
"Project 2025." Written by his closest advisors.",0,0,1,1,0,0,1,0,0,0
"And its sum total is to pull, our
country back into the past.",0,0,1,1,0,0,1,0,0,0
"But America, we are not going back.",0,0,1,0,0,1,0,1,0,0
"We are not going back to when Donald Trump tried to cut Social Security and
Medicare.",0,0,1,1,0,0,1,0,0,0
"We are not going back to when he tried to get rid of the Affordable
Care Act.",0,0,1,1,0,0,1,0,0,0
When insurance companies could deny people with pre-existing conditions.,0,0,1,1,0,0,1,0,0,0
"We are not going to let him eliminate the Department of Education that funds
our public schools.",0,0,1,1,0,0,1,0,0,0
"We are not going to let him end programs like Head Start that
provide preschool and child care.",0,0,1,1,0,0,1,0,0,0
"America, we are not going back.",0,0,1,1,0,0,0,1,0,0
We are charting.,0,0,1,0,0,1,0,1,0,0
A.,0,0,1,0,0,0,0,0,0,0
New.,0,0,1,0,0,0,0,0,0,0
Way.,0,0,1,0,0,0,0,0,0,0
Forward.,0,0,1,0,0,0,0,1,0,0
Forward—to a future with a strong and growing middle class.,0,0,1,0,0,1,0,1,0,0 
