Text,Story of Self (Origin),Story of Us,Story of Now,Challenge,Choice,Outcome,Sensory/Vivid Details,Hope,Values,Vulnerability
"Run.” “Don’t be afraid.” “Don’t let anything stop
you.”
From my earliest years, he taught me to be fearless.",1,,,,1,,,,1,
But the harmony between my parents did not last.,1,,,1,,,,,,1
"When I was in elementary school, they split up.",1,,,,1,1,,,,1
"And it was mostly my mother
who raised us.",1,,,,,,,,,
"Before she could finally afford to buy a home, she rented a small apartment in the
East Bay.",1,,,,,,,,,
"In the Bay, you either live in the hills or the flatlands.",1,,,,,,1,,,
We lived in the flats.,1,1,,1,1,1,1,,,
"A beautiful working-class neighborhood of Firefighters, nuses, and construction
workers, all who tended their lawns with pride.",1,1,,,,,,,1,
My mother worked long hours.,1,1,,,1,1,,,1,
"And, like many working parents, she leaned on a trusted circle to help raise us.",1,1,,,,,,,1,
"Mrs. Shelton, who ran the daycare below us and became a second mother.",1,1,,1,1,1,1,,1,
"Uncle
Sherman.",1,1,,,,,,,1,
Aunt Mary.,1,1,,,,,,,1,
Uncle Freddy.,1,1,,,,,,,1,
And Auntie Chris.,1,1,,,,,,,1,
"None of them, family by blood.",1,1,,,,,,,1,
"And all of them, Family.",1,1,,,1,,,,1,
By love.,1,1,,,,,,,1,
Family who taught us how to make gumbo.,1,1,,,,,1,,1,
How to play chess.,1,1,,,1,,1,,,
"And sometimes
even let us win.",1,1,,,,,,,1,
Family who loved us.,1,1,,,,,,,1,
Believed in us.,1,1,,,,,,,1,
And told us we could be anything.,1,1,,,,,,,1,
"Do
anything.",1,1,,,,,,,1,
They instilled in us the values they personified.,1,1,,,,,,,1,
Community.,1,1,,,,,,,1,
Faith.,1,1,,,,,,,1,
"And the
importance of treating others as you would want to be treated.",1,1,,,,,,,1,
With kindness.,1,,,,,,,,1,
Respect.,1,,,,,,,,1,
And compassion.,1,,,,,,,,1,
"My mother was a brilliant, five-foot-tall, brown woman with an accent.",1,,,,,,1,,,
"And, as
the eldest child, I saw how the world would sometimes treat her.",1,,,,1,,,,,
But she never lost her cool.,1,,,,1,,,,1,
She was tough.,1,,,,,,,,1,
Courageous.,1,,,,,,,,1,
"A trailblazer in the fight
for women’s health.",1,,,1,,,,,1,
"And she taught Maya and me a lesson that Michelle mentioned the other night—
She taught us to never complain about injustice.",1,,,1,1,,,,1,
But…do something about it.,1,,,1,1,,,,1,
She also taught us—Never do anything half-assed.,1,,,1,1,,,,1,
That’s a direct quote.,1,,,1,1,,,,1,
I grew up immersed in the ideals of the Civil Rights Movement.,1,,,1,,,,,1,
My parents had met at a civil rights gathering.,1,,,1,,,,,1,
"And they made sure we learned
about civil rights leaders, including lawyers like Thurgood Marshall and
Constance Baker Motley.",1,,,1,,,,,1,
Those who battled in the courtroom to make real the Promise of America.,1,,,1,1,,,,1,
"So, at a
young age, I decided I wanted to do that work.",1,,,,,1,,1,1,
I wanted to be a lawyer.,1,,,,,,,1,,
"And when it came time to choose – the type of law I would pursue – I reflected on
a pivotal moment in my life.",1,,,,,,,,1,
"When I was in high school, I started to notice something about my best friend
Wanda.",1,,,,,,,,1,
She was sad at school.,1,,,,,,,,,
And there were times she didn’t want to go home.,1,,,,,,,,,
"So, one day, I asked if everything was alright.",1,,,,,,,,1,
"And she confided in me that she
was being sexually abused by her step-father.",1,,,,,,,,1,
"And I immediately told her she had
to come stay with us.",1,,,,,,,,1,
And she did.,1,,,,,,,,1,
That is one of the reasons I became a prosecutor.,1,,,,,,,,1,
To protect people like Wanda.,1,,,,,,,,1,
Because I believe everyone has a right: To safety.,1,,,,,,,,1,
To dignity.,1,,,,,,,,1,
And to justice.,1,,,,,,,,1,
"As a prosecutor, when I had a case, I charged it not in the name of the victim.",1,,,,1,1,,,1,
"But
in the name of.",1,,,,1,1,,,1,
"“The People.”
For a simple reason.",1,,,,1,1,,,1,
"In our system of justice, a harm against any one of us is a
harm against all of us.",1,,,,1,1,,,1,
"I would often explain this, to console survivors of crime.",1,,,,1,1,,,1,
"To remind them: No one
should be made to fight alone.",1,,,,1,1,,,1,
We are all in this together.,1,,,,1,1,,,1,
"Every day in the courtroom, I stood proudly before a judge and said five words:
“Kamala Harris, for the People.”
And to be clear: My entire career, I have only had one client.",1,,,,,1,,,1,
The People.,1,,,,,1,,,1,
"And so, on behalf of The People, On behalf of every American.",,1,1,,,,,,1,
"Regardless of
party.",,1,1,,,,,,1,
Race.,,1,1,,,,,,1,
Gender.,,1,1,,,,,,1,
Or the language your grandmother speaks.,,1,1,,,,,,1,
"On behalf of my mother and everyone who has ever set out on their own unlikely
journey.",,1,1,,,,,,1,
On behalf of Americans like the people I grew up with.,,1,1,,,,,,1,
People who work hard.,,1,1,,,,,,1,
Chase their dreams.,,1,1,,,,,,1,
And look out for one another.,,1,1,,,,,,1,
"On behalf of everyone whose story could only be written in the greatest nation on
Earth.",,1,1,,,,,,1,
I accept your nomination for President of the United States of America.,,1,1,,,,,,1,
"With this election, our nation has a precious, fleeting opportunity to move past
the bitterness, cynicism, and divisive battles of the past.",,1,1,1,1,,,1,,
A chance to chart a New Way Forward.,,1,1,,1,,,1,,
Not as members of any one party or faction.,,1,1,,1,,,1,,
But as Americans.,,1,1,,1,,,1,,
I know there are people of various political views watching tonight.,,1,1,,1,,,1,,
And I want you to know: I promise to be a President for all Americans.,,1,1,,1,,,1,1,
You can always trust me to put country above party and self.,,1,1,,1,,,1,1,
"To hold sacred
America’s fundamental principles.",,1,1,,1,,,1,1,
From the rule of law.,,1,1,,1,,,1,1,
"To free and fair
elections.",,1,1,,1,,,1,1,
To the peaceful transfer of power.,,1,1,,1,,,1,1,
I will be a President who unites us around our highest aspirations.,,1,1,,1,,,1,1,
"A President
who leads.",,,1,,1,,,1,1,
And listens.,,,1,,1,,,1,1,
Who is realistic.,,,1,,1,,,1,1,
Practical.,,,1,,1,,,1,1,
And has common sense.,,,1,,1,,,1,1,
"And
always fights for the American people.",,,1,,1,,,1,1,
"From the courthouse to the White House, that has been my life’s work.",,,1,,1,,,1,1,
"As a young courtroom prosecutor in Oakland, I stood up for women and children
against predators who abused them.",1,,,1,1,1,,1,1,
"As Attorney General of California, I took on the Big Banks.",1,,,1,1,,,,1,
"Delivered $20 billion
for middle-class families who faced foreclosure.",1,,,,1,1,,,1,
"And helped pass a Homeowner
Bill of Rights—one of the first of its kind.",1,,,1,1,,,,1,
I stood up: For veterans and students being scammed by Big for-Profit colleges.,1,,,1,1,,,,,
For workers who were being cheated out of the wages they were due.,1,,,1,1,,,,,
"For seniors
facing elder abuse.",1,,,1,1,,,,,
"I fought against cartels who traffic in guns, drugs, and human beings.",1,,,1,1,,,,,
"Who
threaten the security of our border and the safety of our communities.",1,,,1,1,,,,,
Those fights were not easy.,1,,,1,1,,,1,1,1
"And neither were the elections that put me in those
offices.",1,,,1,,,,,,
We were underestimated at every turn.,1,,,1,1,,,,,
But we never gave up.,1,,,,1,,,,,
"Because the
future is always worth fighting for.",1,,,,,,,1,,
And that’s the fight we are in right now.,1,,1,1,1,,,,,
A fight for America’s future.,,,1,,1,,,,,
"Fellow Americans, this election is not only the most important of our lives.",,,1,1,1,,,,,
"It is
one of the most important in the life of our nation.",,,1,1,1,,,1,1,1
"In many ways, Donald Trump is an unserious man.",,1,1,1,1,,,,1,1
"But the consequences of putting Donald Trump back in the White House are
extremely serious.",,1,1,1,1,,,,1,1
"Consider not only the chaos and calamity when he was in office, but also the
gravity of what has happened since he lost the last election.",,1,1,1,1,,,,1,1
Donald Trump tried to throw away your votes.,,1,1,1,1,,,,1,1
"When he failed, he sent an armed mob to the United States Capitol, where they
assaulted law enforcement officers.",,1,1,1,1,,,,1,1
"When politicians in his own party begged him to call off the mob and send help,
he did the opposite.",,1,1,1,1,,,,1,1
He fanned the flames.,,1,1,1,1,,,,1,1
"And now, for an entirely different set of crimes, he was found guilty of fraud by a
jury of everyday Americans.",,1,1,1,1,,,,1,1
"And separately, found liable for committing sexual
abuse.",,1,1,1,1,,,,1,1
And consider what he intends to do if we give him power again.,,1,1,1,1,,,,1,1
"Consider his explicit intent to set free the violent extremists who assaulted those
law enforcement officers at the Capitol.",,1,1,1,1,,,,1,1
His explicit intent to jail journalists.,,1,1,1,1,,,,1,1
Political opponents.,,1,1,1,1,,,,1,1
"Anyone he sees as the
enemy.",,1,1,1,1,,,,1,1
His explicit intent to deploy our active-duty military against our own citizens.,,1,1,1,1,,,,1,1
"Consider the power he will have— especially after the United States Supreme
Court just ruled he would be immune from criminal prosecution.",,1,1,1,1,,,,1,1
Just imagine Donald Trump with no guardrails.,,1,1,1,1,,,,1,1
"How he would use the immense
powers of the presidency of the United States.",,1,1,1,1,,,,1,1
Not to improve your life.,,1,1,1,1,,,,1,1
"Not to
strengthen our national security.",,1,1,1,1,,,,1,1
But to serve the only client he has ever had: Himself.,,1,1,1,1,,,,1,1
And we know what a second Trump term would look like.,,1,1,1,1,,,,1,1
"It’s all laid out in
“Project 2025.” Written by his closest advisors.",,1,1,1,1,,,,1,1
"And its sum total is to pull, our
country back into the past.",,1,1,1,1,,,,1,1
"But America, we are not going back.",,1,1,,1,1,,1,,
"We are not going back to when Donald Trump tried to cut Social Security and
Medicare.",,1,1,1,1,,,,,
"We are not going back to when he tried to get rid of the Affordable
Care Act.",,1,1,1,1,1,,,,
When insurance companies could deny people with pre-existing conditions.,,1,1,1,1,1,,,,
"We are not going to let him eliminate the Department of Education that funds
our public schools.",,1,1,1,1,1,,,,
"We are not going to let him end programs like Head Start that
provide preschool and child care.",,1,1,1,1,1,,,,
"America, we are not going back.",,,1,,1,1,,,,
We are charting.,,,1,,1,1,,,,
A.,,,1,,1,1,,,,
New.,,,1,,1,1,,,,
Way.,,,1,,1,1,,,,
Forward.,,,1,,1,1,,,,
Forward—to a future with a strong and growing middle class.,,1,1,,,,,,1,
"Because we know a strong middle class has always been critical to America’s
success.",,1,1,,,,,,1,
And building that middle class will be a defining goal of my presidency.,,1,1,,,,,,,
This is personal for me.,1,1,1,,,,,,,
The middle class is where I come from.,1,1,1,,,,,,1,
"My mother kept a
strict budget.",1,1,,,,,,,,
We lived within our means.,1,1,,,,,,,1,
"Yet, we wanted for little.",1,1,,,,,,,1,
"And she expected us to make the most of the opportunities that were available to
us.",1,1,,,,1,,,1,
And to be grateful for them.,1,1,,,,1,,,,
Because opportunity is not available to everyone.,,,1,,,1,,,,
That’s why we will create what I call an opportunity economy.,,,1,,,1,,,,
"An opportunity
economy where everyone has a chance to compete and a chance to succeed.",,,1,,,1,,,,
"Whether you live in a rural area, small town, or big city.",,,1,,,1,,,,
"As President, I will bring together: Labor and workers, Small business owners
and entrepreneurs, And American companies.",,,1,,,1,,,,
To create jobs.,,,1,,,1,,,,
Grow our economy.,,,1,,,1,,,,
And lower the cost of everyday needs.,,,1,,,1,,,,
"Like
health care.",,,1,,,1,,,,
Housing.,,,1,,,1,,,,
And groceries.,,,1,,,1,,,,
"We will: Provide access to capital for small business owners, entrepreneurs, and
founders.",,,1,,,1,,,,
We will end America’s housing shortage.,,,1,,,1,,,,
"And protect Social Security
and Medicare.",,,1,,,1,,,,
Compare that to Donald Trump.,,,1,,,1,,,,
He doesn’t actually fight for the middle class.,,,1,,,1,,,,
"Instead, he fights for himself and his billionaire friends.",,,,1,,,,,1,1
"He will give them
another round of tax breaks, that will add 5 trillion dollars to the national debt.",,,,1,,,,,1,1
"All while he intends to enact what, in effect, is a national sales tax—call it, a
Trump tax— that would raise prices on middle-class families by almost 4
thousand dollars a year.",,,,1,,,,,1,1
"Well, instead of a Trump tax hike, we will pass a middle class tax cut that will
benefit more than 100 million Americans.",,,,1,,,,,1,1
"Friends, I believe America cannot truly be prosperous unless Americans are fully
able to make their own decisions about their own lives.",,,,1,,,,,1,1
"Especially on matters
of heart and home.",,,,1,,,,,1,1
"But tonight, too many women in America are not able to make those decisions.",,,,1,,,,,1,
Let’s be clear about how we got here.,,,,1,,,,,1,
"Donald Trump hand-picked members of the United States Supreme Court to take
away reproductive freedom.",,,,1,,,,,1,
And now he brags about it.,,,,1,,,,,1,
"His words: Quote –“I did
it, and I’m proud to have done it.” End quote.",,,,1,,,,,1,
"Over the past two years, I have traveled across our country.",,,,1,,,,,1,
"And women have told
me their stories.",,1,,1,,,,,1,
Husbands and fathers have shared theirs.,,1,,1,,,,,1,
"Stories of: Women
miscarrying in a parking lot…Getting sepsis…Losing the ability to ever have
children again…
All—because doctors are afraid of going to jail for caring for their patients.",,1,,1,,,1,,1,
Couples just trying to grow their family…cut off in the middle of IVF treatments.,,1,,1,,,,,1,
"Children who have survived sexual assault, potentially forced to carry the
pregnancy to term.",,1,,1,,,1,,1,
This is what is happening in our country.,,1,,1,,,,,1,
Because of Donald Trump.,,1,,1,,,,,1,1
"And understand, ---he is not done.",,1,,1,,,,,1,1
"As a part of his agenda, he and his allies would: Limit access to birth control, Ban
medication abortion, And enact a nation-wide abortion ban with or without
Congress.",,1,,1,,,,,1,1
And.,,1,,1,,,,,1,1
"Get this, he plans to create a National.",,1,,1,,,,,1,1
Anti-Abortion.,,1,,1,,,,,1,1
Coordinator.,,1,,1,,,,,1,1
"And
force states to report on women’s miscarriages and abortions.",,1,,1,,,,,1,1
Simply put.,,1,,1,,,,,1,1
"They
are.",,1,,1,,,,,1,1
Out.,,1,,1,,,,,1,1
Of.,,1,,1,,,,,1,1
Their.,,1,,1,,,,,1,1
Minds.,,1,,1,,,,,1,1
And one must ask: Why exactly is it that they don’t trust women?,,1,,1,,,,,1,
Well.,,1,,,,1,,,1,
We.,,1,,,,1,,,1,
trust.,,1,,,,1,,,1,
women.,,1,,,,1,,,1,
"And when Congress passes a bill to restore reproductive freedom, as President of
the United States, I will proudly sign it into.",,1,1,,1,1,,1,1,
law.,,1,1,,1,1,,1,1,
"In this election, many other fundamental freedoms are at stake.",,1,1,,1,,,,1,
"The freedom to
live safe from gun violence—in our schools, communities, and places of worship.",,1,1,1,,,,,1,
The freedom to love who you love openly and with pride.,,1,1,1,,,,,1,
"The freedom to breathe
clean air, drink clean water, and live free from the pollution that fuels the climate
crisis.",,1,1,1,,,,,1,
And the freedom that unlocks all the others.,,1,1,1,,,,,1,
The freedom to vote.,,1,1,1,,,,,1,
"With this election, We finally have the opportunity to pass the John Lewis Voting
Rights Act and the Freedom to Vote Act.",,1,1,,,,,,1,
And let me be clear.,,1,1,,,,,,1,
"After decades in law
enforcement, I know the importance of safety and security, especially at our
border.",,1,1,,,,,,1,
"Last year, Joe and I brought together Democrats and conservative Republicans to
write the strongest border bill in decades.",,1,,,1,1,,,,
The Border Patrol endorsed it.,,1,,1,,1,,,,
But Donald Trump believes a border deal would hurt his campaign.,,,,1,,,,,,
"So he
ordered his allies in Congress to kill the deal.",,,,1,,,,,,
"Well, I refuse to play politics with our security.",,,1,1,1,,,,,
"Here is my pledge to you: As
President, I will bring back the bipartisan border security bill that he killed.",,,1,,,,,,,
"And
I will sign it into law.",,,1,,,,,,,
"I know we can live up to our proud heritage as a nation of immigrants— And
reform our broken immigration system.",,,1,1,,,,,,
"We can create an earned pathway to
citizenship— And secure our border.",,,1,1,,,,,,
"America, we must also be steadfast in
advancing our security and our values abroad.",,,1,1,,,,,,
"As Vice President, I have: confronted threats to our security, negotiated with
foreign leaders, strengthened our alliances, and engaged with our brave troops
overseas.",,,1,1,,,,,,
"As Commander-in-Chief, I will ensure America always has the strongest, most
lethal fighting force in the world.",,,1,1,,,,,,
"I will fulfill our sacred obligation to care for our
troops and their families.",,,1,1,,,,,,
"And I will always honor, and never disparage, their service and their sacrifice.",,,1,1,,,,,,
"I will make sure that: We lead the world into the future on space and Artificial
Intelligence.",,,1,1,,,,,,
"That America—not China—wins The competition for the 21st
century.",,,1,1,,,,,,
And that we strengthen—not abdicate—our global leadership.,,,1,1,,,,,,
"Trump, on the other hand, threatened to abandon NATO.",,,1,1,,,,,,
"He encouraged Putin to
invade our allies.",,,1,1,,,,,,
"Said Russia could—quote—“do whatever the hell they want.”
Five days before Russia attacked Ukraine, I met with President Zelensky to warn
him about Russia’s plan to invade.",,,1,1,,,,,,
"I helped mobilize a global response—
over 50 countries—to defend against Putin’s aggression.",,,1,1,,,,,,
"And as President, I will
stand strong with Ukraine and our NATO allies.",,,1,1,,,,,,
With respect to the war in Gaza.,,,1,1,,,,,,
"President Biden and I are working around the
clock.",,,1,1,,,,,,
Because now is the time to get a hostage deal and ceasefire done.,,,1,1,,,,,,
"Let me be clear: I will always stand up for Israel’s right to defend itself and I will
always ensure Israel has the ability to defend itself.",,,1,1,,,,,,
"Because the people of Israel
must never again face the horror that the terrorist organization Hamas caused on
October 7th.",,,1,1,,,,,,
"Including unspeakable sexual violence and the massacre of young
people at a music festival.",,,1,1,,,,,,
"At the same time, what has happened in Gaza over the past 10 months is
devastating.",,,1,1,,,,,,
So many innocent lives lost.,,,1,1,,,,,,
"Desperate, hungry people fleeing for
safety, over and over again.",,,1,1,,,,,,
The scale of suffering is heartbreaking.,,,1,1,,,,,,
"President Biden and I are working to end this war such that Israel is secure, the
hostages are released, the suffering in Gaza ends, and the Palestinian people can
realize their right to dignity.",,,1,1,1,1,,,,
Security.,,,1,,,1,,,1,
Freedom.,,,1,,,1,,,1,
And self-determination.,,,1,,,1,,,1,
"And know this: I will never hesitate to take whatever action is necessary to defend
our forces and our interests against Iran and Iran-backed terrorists.",,,1,1,,,,,1,
"And I will
not cozy up to tyrants and dictators like Kim-Jong-Un, who are rooting for
Trump.",,,1,1,,,,,1,
Because they know he is easy to manipulate with flattery and favors.,,,1,1,,,,,1,
"They
know Trump won’t hold autocrats accountable—because he wants to be an
autocrat.",,,1,1,,,,,1,
"As President, I will never waver in defense of America’s security and ideals.",,,1,1,,,,,1,
"Because, in the enduring struggle between democracy and tyranny, I know where
I stand—and where the United States of America belongs.",,,1,1,,,,,1,
"Fellow Americans, I love our country with all my heart.",,,1,,1,,,1,1,
Everywhere I go—in everyone I meet—I see a nation ready to move forward.,,,1,,1,,,1,,
"Ready for the next step, in the incredible journey that is America.",,,1,,1,,,1,,
I see an America where we hold fast to the fearless belief that built our nation.,,,1,,1,,,1,,
That inspired the world.,,,1,,1,,,1,,
"That here, in this country, anything is possible.",,,1,,1,,,1,,
"Nothing
is out of reach.",,,1,,1,,,1,,
"An America, where we care for one another, look out for one another, and
recognize that we have so much more in common than what separates us.",,,1,,1,,,1,,
"That
none of us has to fail for all of us to succeed.",,,1,,1,,,1,,
"And that, in unity, there is strength.",,,1,,1,,,1,,
"Our opponents in this race are out there, every day, denigrating America.",,,1,,1,,,1,,
"Talking
about how terrible everything is.",,,1,,1,,,1,,
"Well, my mother had another lesson she used to
teach.",1,,,,1,,,1,,
Never let anyone tell you who you are.,1,,,,1,,,1,,
You show them who you are.,1,,,,1,,,1,,
"America, let us show each other—and the world—who we are.",,,1,,1,,,1,,
"And what we stand
for.",,,1,,1,,,1,,
Freedom.,,,1,,1,,,1,1,
Opportunity.,,,1,,1,,,1,1,
Compassion.,,,1,,1,,,1,1,
Dignity.,,,1,,1,,,1,1,
Fairness.,,,1,,1,,,1,1,
"And endless
possibilities.",,,1,,1,,,1,1,
We are the heirs to the greatest democracy in the history of the world.,,,1,1,1,,,1,,
"And on
behalf of our children and grandchildren, and all those who sacrificed so dearly
for our freedom and liberty, we must be worthy of this moment.",,,1,1,1,,,1,,
"It is now our
turn to do what generations before us have done.",,,1,,1,,,1,,
"Guided by optimism and faith,
to fight for this country we love.",,,1,,1,,,1,,
To fight for the ideals we cherish.,,,1,,1,,,1,,
"And to uphold the awesome responsibility that comes with the greatest privilege
on Earth.",,,1,,1,,,1,,
The privilege and pride of being an American.,,,1,,1,,,1,,
"So, let’s get out there and let’s fight for it.",,,1,,1,,,1,,
Let’s get out there and let’s vote for it.,,,1,,1,,,1,,
"And together, let us write the next great chapter in the most extraordinary story
ever told.",,,1,,1,,,1,,
Thank you.,,,,,,,,,1,
God bless you.,,,,,,,,,1,
May God bless the United States of America.,,,,,,,,,1,
